"CLE_PRODUIT";"PRNOM";"LIBELLE_DCI";"CODEUD";"LIBELUD"
4323;"ORAP 1 mg, cpr";"PIMOZINE";"cpr";"comprimé(s)"
3937;"LOXAPAC 25 mg/mL, sol buv, flac 60 mL";"LOXAPINE";"flac";"flacon(s)"
3938;"LOXAPAC 50 mg/2 mL, sol inj, IM, amp";"LOXAPINE";"amp";"ampoule(s)"
14464;"LOXAPAC 25 mg, cpr";"LOXAPINE";"cpr";"comprimé(s)"
14465;"LOXAPAC 50 mg, cpr";"LOXAPINE";"cpr";"comprimé(s)"
1734;"CLOZAPINE 25 mg VIATRIS, cpr séc";"CLOZAPINE";"cpr";"comprimé(s)"
1733;"CLOZAPINE 100 mg VIATRIS, cpr séc";"CLOZAPINE";"cpr";"comprimé(s)"
7599;"OLANZAPINE 7.5 mg ARROW, cpr";"OLANZAPINE";"cpr";"comprimé(s)"
7600;"OLANZAPINE 10 mg ARROW, cpr orodispersible";"OLANZAPINE";"cpr";"comprimé(s)"
7601;"OLANZAPINE 5 mg ARROW, cpr orodispersible";"OLANZAPINE";"cpr";"comprimé(s)"
13749;"QUETIAPINE LP 400 mg VIATRIS, cpr à libération prolongée";"QUETIAPINE";"cpr";"comprimé(s)"
13748;"QUETIAPINE LP 300 mg VIATRIS, cpr à libération prolongée";"QUETIAPINE";"cpr";"comprimé(s)"
13747;"QUETIAPINE LP 50 mg VIATRIS, cpr à libération prolongée";"QUETIAPINE";"cpr";"comprimé(s)"
2181;"DOGMATIL 5 mg/mL ss sucre, sol buv, flac 200 mL";"SULPIRIDE";"flac";"flacon(s)"
2182;"DOGMATIL 50 mg, gélule";"SULPIRIDE";"gel";"gélule(s)"
6497;"TIAPRIDAL 100 mg, cpr séc";"TIAPRIDE";"cpr";"comprimé(s)"
6498;"TIAPRIDAL 100 mg/2 mL, sol inj, amp";"TIAPRIDE";"amp";"ampoule(s)"
6499;"TIAPRIDAL 138 mg/mL, sol buv, flac 30 mL";"TIAPRIDE";"flac";"flacon(s)"
5572;"AMISULPRIDE 100 mg ARROW LAB, cpr séc";"AMISULPRIDE";"cpr";"comprimé(s)"
5573;"AMISULPRIDE 200 mg ARROW LAB, cpr séc";"AMISULPRIDE";"cpr";"comprimé(s)"
12786;"SOLIAN 100 mg/mL, sol buv, flac 60 mL";"AMISULPRIDE";"flac";"flacon(s)"
6399;"TERALITHE 250 mg, cpr séc";"LITHIUM";"cpr";"comprimé(s)"
13727;"TERALITHE LP 400 mg, cpr séc à libération prolongée";"LITHIUM";"cpr";"comprimé(s)"
5295;"RISPERIDONE 1 mg EG, cpr orodispersible";"RISPERIDONE";"cpr";"comprimé(s)"
5296;"RISPERIDONE 2 mg EG, cpr orodispersible";"RISPERIDONE";"cpr";"comprimé(s)"
5297;"RISPERIDONE 4 mg VIATRIS, cpr séc";"RISPERIDONE";"cpr";"comprimé(s)"
9187;"RISPERDALCONSTA LP 50 mg/2 mL, pdr et solv pr susp inj à libération prolongée, flac & srg";"RISPERIDONE";"flac";"flacon(s)"
8985;"RISPERDALCONSTA LP 37.5 mg/2 mL, pdr et solv pr susp inj à libération prolongée, flac & srg";"RISPERIDONE";"flac";"flacon(s)"
10173;"RISPERIDONE 0.5 mg EG, cpr orodispersible";"RISPERIDONE";"cpr";"comprimé(s)"
14382;"RISPERDAL 1 mg/mL, sol buv, flac 30 mL";"RISPERIDONE";"flac";"flacon(s)"
31868;"RISPERDALCONSTA LP 25 mg/2 mL, pdr et solv pr susp inj à libération prolongée, flac & srg";"RISPERIDONE";"flac";"flacon(s)"
6831;"VALIUM 1%, sol buv en gouttes, flac 20 mL";"DIAZEPAM";"flac c-gttes";"flacon compte-gouttes"
6833;"DIAZEPAM 5 mg TEVA, cpr";"DIAZEPAM";"cpr";"comprimé(s)"
6835;"DIAZEPAM 10 mg/2 mL RENAUDIN, sol inj, amp";"DIAZEPAM";"amp";"ampoule(s)"
6834;"DIAZEPAM 10 mg ARROW, cpr séc";"DIAZEPAM";"cpr";"comprimé(s)"
6832;"DIAZEPAM 2 mg TEVA, cpr";"DIAZEPAM";"cpr";"comprimé(s)"
5422;"SERESTA 10 mg, cpr";"OXAZEPAM";"cpr";"comprimé(s)"
5423;"SERESTA 50 mg, cpr séc";"OXAZEPAM";"cpr";"comprimé(s)"
6643;"TRANXENE 5 mg, gélule";"CLORAZEPATE POTASSIQUE";"gel";"gélule(s)"
6644;"TRANXENE 10 mg, gélule";"CLORAZEPATE POTASSIQUE";"gel";"gélule(s)"
6645;"TRANXENE 20 mg/2 mL, lyophilisat et solv pr sol inj, flac & amp";"CLORAZEPATE POTASSIQUE";"amp";"ampoule(s)"
6383;"TEMESTA 2.5 mg, cpr séc";"LORAZEPAM";"cpr";"comprimé(s)"
6382;"TEMESTA 1 mg, cpr séc";"LORAZEPAM";"cpr";"comprimé(s)"
3897;"BROMAZEPAM 6 mg ARROW, cpr quadriséc";"BROMAZEPAM";"cpr";"comprimé(s)"
34269;"BROMAZEPAM 1.5 mg ARROW, cpr";"BROMAZEPAM";"cpr";"comprimé(s)"
6803;"URBANYL 10 mg, cpr séc";"CLOBAZAM";"cpr";"comprimé(s)"
25274;"LIKOZAM 1 mg/mL, susp buv, flac 150 mL";"CLOBAZAM";"flac";"flacon(s)"
9597;"TASMAR 100 mg, cpr";"TOLCAPONE";"cpr";"comprimé(s)"
3865;"LARGACTIL 4%, sol buv en gouttes, flac 30 mL";"CHLORPROMAZINE";"flac c-gttes";"flacon compte-gouttes"
3864;"LARGACTIL 25 mg/5 mL, sol inj, amp";"CHLORPROMAZINE";"amp";"ampoule(s)"
35734;"LARGACTIL 25 mg, cpr";"CHLORPROMAZINE";"-1";"(sans)"
4267;"NOZINAN 25 mg, cpr séc";"LEVOMEPROMAZINE";"cpr";"comprimé(s)"
4268;"NOZINAN 100 mg, cpr séc";"LEVOMEPROMAZINE";"cpr";"comprimé(s)"
4269;"NOZINAN 25 mg/1 mL, sol inj, IM, amp";"LEVOMEPROMAZINE";"amp";"ampoule(s)"
4270;"NOZINAN 4%, sol buv, flac 30 mL";"LEVOMEPROMAZINE";"flac c-gttes";"flacon compte-gouttes"
6402;"TERCIAN 40 mg/mL, sol buv en gouttes, flac 30 mL";"CYAMEMAZINE";"flac";"flacon(s)"
6400;"CYAMEMAZINE 100 mg VIATRIS, cpr séc";"CYAMEMAZINE";"cpr";"comprimé(s)"
6401;"CYAMEMAZINE 25 mg VIATRIS, cpr séc";"CYAMEMAZINE";"cpr";"comprimé(s)"
32109;"TERCIAN 50 mg/5 mL, sol inj, amp";"CYAMEMAZINE";"amp";"ampoule(s)"
4211;"NEULEPTIL 4%, sol buv, flac 30 mL";"PERICIAZINE";"flac c-gttes";"flacon compte-gouttes"
9430;"PIPORTIL 10 mg, cpr séc";"PIPOTIAZINE";"cpr";"comprimé(s)"
38875;"PIPORTIL L4, 25 mg/1 mL, sol inj, IM, amp";"PIPOTIAZINE";"amp";"ampoule(s)"
2162;"DIPIPERON 40 mg/mL, sol buv en gouttes, flac 30 mL";"PIPAMPERONE";"flac c-gttes";"flacon compte-gouttes"
10679;"DIPIPERON 40 mg, cpr séc";"PIPAMPERONE";"cpr";"comprimé(s)"
2348;"DROPERIDOL 2.5 mg/1 mL PANPHARMA, sol inj, amp";"DROPERIDOL";"amp";"ampoule(s)"
3855;"LAMOTRIGINE 100 mg ARROW LAB, cpr dispersible ou à croquer";"LAMOTRIGINE";"cpr";"comprimé(s)"
3856;"LAMOTRIGINE 25 mg ARROW LAB, cpr dispersible ou à croquer";"LAMOTRIGINE";"cpr";"comprimé(s)"
9101;"LAMICTAL 5 mg, cpr dispersible ou à croquer";"LAMOTRIGINE";"cpr";"comprimé(s)"
34042;"LAMICTAL 50 mg, cpr dispersible ou à croquer";"LAMOTRIGINE";"-1";"(sans)"
2889;"EPITOMAX 25 mg, gélule";"TOPIRAMATE";"cpr";"comprimé(s)"
2887;"TOPIRAMATE 100 mg VIATRIS, cpr";"TOPIRAMATE";"cpr";"comprimé(s)"
11312;"EPITOMAX 15 mg, gélule";"TOPIRAMATE";"gel";"gélule(s)"
16451;"TOPIRAMATE 25MG GELULE SANS SUCRE";"TOPIRAMATE";"gel";"gélule(s)"
4214;"GABAPENTINE 100 mg ARROW GENERIQUES, gélule";"GABAPENTINE";"gel";"gélule(s)"
4215;"GABAPENTINE 300 mg ARROW GENERIQUES, gélule";"GABAPENTINE";"gel";"gélule(s)"
4216;"GABAPENTINE 400 mg ARROW GENERIQUES, gélule";"GABAPENTINE";"gel";"gélule(s)"
4217;"GABAPENTINE 600 mg ARROW GENERIQUES, cpr séc";"GABAPENTINE";"cpr";"comprimé(s)"
452;"ARTANE 2 mg, cpr";"TRIHEXYPHENIDYL";"cpr";"comprimé(s)"
453;"ARTANE 5 mg, cpr";"TRIHEXYPHENIDYL";"cpr";"comprimé(s)"
9103;"ARTANE 0.4%, sol buv en gouttes, flac 30 mL";"TRIHEXYPHENIDYL";"flac";"flacon(s)"
9867;"PARKINANE LP 2 mg, gélule à libération prolongée";"TRIHEXYPHENIDYL";"gel";"gélule(s)"
36519;"PARKINANE LP 5 mg, gélule à libération prolongée";"TRIHEXYPHENIDYL";"-1";"(sans)"
25260;"AMANTADINE HYDROCHLORIDE 50 mg/5 mL, sirop, flac 150 mL";"AMANTADINE";"flac";"flacon(s)"
36518;"MANTADIX 100 mg, caps";"AMANTADINE";"caps";"capsule(s)"
5252;"ROPINIROLE LP 2 mg EG, cpr à libération prolongée";"ROPINIROLE";"cpr";"comprimé(s)"
5254;"ROPINIROLE LP 8 mg EG, cpr à libération prolongée";"ROPINIROLE";"cpr";"comprimé(s)"
8455;"ROPINIROLE 0.25 mg EG, cpr";"ROPINIROLE";"cpr";"comprimé(s)"
9532;"REQUIP 0.5 mg, cpr";"ROPINIROLE";"cpr";"comprimé(s)"
33584;"ROPINIROLE 1 mg TEVA, cpr";"ROPINIROLE";"-1";"(sans)"
9098;"SIFROL 0.7 mg, cpr";"PRAMIPEXOLE";"cpr";"comprimé(s)"
14674;"SIFROL 0.52 mg, cpr à libération prolongée";"PRAMIPEXOLE";"cpr";"comprimé(s)"
14675;"SIFROL 1.05 mg, cpr à libération prolongée";"PRAMIPEXOLE";"cpr";"comprimé(s)"
14672;"PRAMIPEXOLE 0.18 mg VIATRIS, cpr";"PRAMIPEXOLE";"cpr";"comprimé(s)"
14673;"SIFROL 0.26 mg, cpr à libération prolongée";"PRAMIPEXOLE";"cpr";"comprimé(s)"
420;"APOKINON 30 mg/3 mL, sol inj, stylo";"APOMORPHINE";"stylo_prr";"stylo(s) pré-rempli(s)"
30264;"DOPACEPTIN 100 mg/20 mL, sol pr perf, flac";"APOMORPHINE";"flac";"flacon(s)"
16176;"APOKINON 50 mg/10 mL, sol pr perf, amp";"APOMORPHINE";"amp";"ampoule(s)"
38578;"APOKINON 100 mg/20 mL, sol pr perf, cart";"APOMORPHINE";"cart";"cartouche(s)"
8670;"NOCERTONE 60 mg, cpr séc";"OXETORONE";"cpr";"comprimé(s)"
3249;"GARDENAL 10 mg, cpr";"PHENOBARBITAL";"cpr";"comprimé(s)"
3250;"GARDENAL 50 mg, cpr";"PHENOBARBITAL";"cpr";"comprimé(s)"
3251;"GARDENAL 100 mg, cpr";"PHENOBARBITAL";"cpr";"comprimé(s)"
3252;"GARDENAL 200 mg/4 mL, pdr et solv pr sol inj, flac & amp";"PHENOBARBITAL";"amp";"ampoule(s)"
3253;"GARDENAL 40 mg/2 mL, pdr et solv pr sol inj, flac & amp";"PHENOBARBITAL";"amp";"ampoule(s)"
31748;"PHENOBARBITAL 9 MG/ML SUPS BUV 60ML";"PHENOBARBITAL";"flac";"flacon(s)"
4165;"MYSOLINE 250 mg, cpr séc";"PRIMIDONE";"cpr";"comprimé(s)"
2150;"DI-HYDAN 100 mg, cpr séc";"PHENYTOINE";"cpr";"comprimé(s)"
2151;"DILANTIN 250 mg/5 mL, sol inj, flac";"PHENYTOINE";"flac";"flacon(s)"
33509;"EPANUTIN 30 mg/5 mL, susp buv, flac 500 mL";"PHENYTOINE";"flac";"flacon(s)"
5299;"RIVOTRIL 2 mg, cpr quadriséc";"CLONAZEPAM";"cpr";"comprimé(s)"
5300;"RIVOTRIL 2.5 mg/mL, sol buv en gouttes, flac 20 mL";"CLONAZEPAM";"flac c-gttes";"flacon compte-gouttes"
5298;"RIVOTRIL 1 mg/1 mL, sol à diluer inj, amp";"CLONAZEPAM";"amp";"ampoule(s)"
6373;"TEGRETOL 20 mg/mL, susp buv, flac 150 mL";"CARBAMAZEPINE";"flac";"flacon(s)"
6374;"TEGRETOL 200 mg, cpr séc";"CARBAMAZEPINE";"cpr";"comprimé(s)"
6376;"CARBAMAZEPINE LP 400 mg VIATRIS, cpr séc à libération prolongée";"CARBAMAZEPINE";"cpr";"comprimé(s)"
6375;"CARBAMAZEPINE LP 200 mg VIATRIS, cpr séc à libération prolongée";"CARBAMAZEPINE";"cpr";"comprimé(s)"
4102;"MICROPAKINE LP 100 mg, granulés à libération prolongée, sachet";"VALPROIQUE ACIDE";"sachet";"sachet(s)-dose"
4103;"MICROPAKINE LP 250 mg, granulés à libération prolongée, sachet";"VALPROIQUE ACIDE";"sachet";"sachet(s)-dose"
4104;"MICROPAKINE LP 500 mg, granulés à libération prolongée, sachet";"VALPROIQUE ACIDE";"sachet";"sachet(s)-dose"
2077;"VALPROATE DE SODIUM 200 mg/mL ARROW, sol buv, flac 40 mL";"VALPROIQUE ACIDE";"flac";"flacon(s)"
2078;"VALPROATE DE SODIUM 400 mg/4 mL AGUETTANT, sol inj, amp";"VALPROIQUE ACIDE";"amp";"ampoule(s)"
2080;"DEPAKINE CHRONO LP 500 mg, cpr séc à libération prolongée";"VALPROIQUE ACIDE";"cpr";"comprimé(s)"
2081;"DEPAKOTE 250 mg, cpr gastro-résistant";"VALPROIQUE ACIDE";"cpr";"comprimé(s)"
2082;"DEPAKOTE 500 mg, cpr gastro-résistant";"VALPROIQUE ACIDE";"cpr";"comprimé(s)"
9124;"DEPAKINE 500 mg, cpr gastro-résistant";"VALPROIQUE ACIDE";"cpr";"comprimé(s)"
5355;"SABRIL 500 mg, granulés pr sol buv, sachet";"VIGABATRIN";"sachet";"sachet(s)-dose"
24182;"IZALGI 500 mg/25 mg, gélule";"PARACETAMOL EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES";"gel";"gélule(s)"
36774;"GYNERGENE CAFEINE, cpr";"ERGOTAMINE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES";"cpr";"comprimé(s)"
8750;"IMIJECT 6 mg/0.5 mL, sol inj, SC, srg + injecteur automatique";"SUMATRIPTAN";"mL";"millilitre(s)"
10373;"IMIGRANE 10 mg/0.1 mL, sol pr pulv nasale, amp";"SUMATRIPTAN";"amp";"ampoule(s)"
16036;"IMIGRANE 6 mg/0.5 mL, sol inj, SC, srg + injecteur automatique";"SUMATRIPTAN";"mL";"millilitre(s)"
25983;"NARATRIPTAN 2.5 mg ARROW, cpr";"NARATRIPTAN";"cpr";"comprimé(s)"
34695;"ZOLMITRIPTAN 2.5 mg EG, cpr orodispersible";"ZOLMITRIPTAN";"cpr";"comprimé(s)"
11339;"NOLOTIL 2 g/5 mL, sol inj, amp";"METAMIZOLE SODIQUE";"amp";"ampoule(s)"
2192;"DOLIPRANE 300 mg, suppo";"PARACETAMOL";"suppo";"suppositoire(s)"
2386;"DAFALGAN 500 mg, cpr efferv séc";"PARACETAMOL";"cpr";"comprimé(s)"
2193;"DOLIPRANEORODOZ 500 mg, cpr orodispersible";"PARACETAMOL";"cpr";"comprimé(s)"
2189;"DOLIPRANE 1 000 mg, ad, suppo";"PARACETAMOL";"suppo";"suppositoire(s)"
2187;"DAFALGAN 500 mg, gélule";"PARACETAMOL";"gel";"gélule(s)"
2188;"DOLIPRANE 2.4%, susp buv, flac 100 mL";"PARACETAMOL";"flac";"flacon(s)"
2190;"DOLIPRANE 100 mg, suppo séc";"PARACETAMOL";"suppo";"suppositoire(s)"
2191;"DOLIPRANE 150 mg, suppo";"PARACETAMOL";"suppo";"suppositoire(s)"
5086;"PARACETAMOL 500 mg/50 mL B BRAUN, sol pr perf, flac";"PARACETAMOL";"flac";"flacon(s)"
5087;"PARACETAMOL 1 g/100 mL B BRAUN, sol pr perf, flac";"PARACETAMOL";"flac";"flacon(s)"
11782;"DAFALGAN 1 000 mg, cpr";"PARACETAMOL";"cpr";"comprimé(s)"
24277;"DAFALGAN 600 mg, suppo";"PARACETAMOL";"suppo";"suppositoire(s)"
4167;"NALBUPHINE 20 mg/2 mL RENAUDIN, sol inj, amp";"NALBUPHINE";"amp";"ampoule(s)"
1837;"TRAMADOL 100 mg/2 mL ARROW, sol inj ou pr perf, amp";"TRAMADOL";"amp";"ampoule(s)"
1839;"ZAMUDOL LP 100 mg, gélule à libération prolongée";"TRAMADOL";"gel";"gélule(s)"
1840;"ZAMUDOL LP 150 mg, gélule à libération prolongée";"TRAMADOL";"gel";"gélule(s)"
1841;"CONTRAMAL 100 mg/mL, sol buv, flac 10 mL";"TRAMADOL";"flac c-gttes";"flacon compte-gouttes"
1838;"CONTRAMAL 50 mg, gélule";"TRAMADOL";"gel";"gélule(s)"
38792;"ZAMUDOL LP 50 mg, gélule à libération prolongée";"TRAMADOL";"gel";"gélule(s)"
455;"ASPEGIC 500 mg, pdr et sol pr sol inj";"ACETYLSALICYLIQUE ACIDE";"flac";"flacon(s)"
456;"ASPEGIC 1 g/5 mL, pdr et solv pr sol inj, flac & amp";"ACETYLSALICYLIQUE ACIDE";"amp";"ampoule(s)"
457;"ASPEGIC 100 mg, nour, pdr pr sol buv, sachet";"ACETYLSALICYLIQUE ACIDE";"sachet";"sachet(s)-dose"
458;"ASPEGIC 250 mg, enf, pdr pr sol buv, sachet";"ACETYLSALICYLIQUE ACIDE";"sachet";"sachet(s)-dose"
459;"ASPEGIC 500 mg, pdr pr sol buv, sachet";"ACETYLSALICYLIQUE ACIDE";"sachet";"sachet(s)-dose"
7564;"INSTILLAGEL, gel urétral, srg 11 mL";"LIDOCAINE EN ASSOCIATION";"ser_prr";"seringue(s) pré-remplie(s)"
7565;"XYLOCAINE 5% naphazoline, sol pr appli muqueuse, flac 24 mL";"LIDOCAINE EN ASSOCIATION";"appln";"application(s)"
25564;"LIDOCAINE ADRENALINE 200 mg/0.05 mg/10 mL AGUETTANT, sol inj, amp";"LIDOCAINE EN ASSOCIATION";"amp";"ampoule(s)"
31401;"XYLONOR 150 mg/1.5 mg/g, sol pr pulv buccale, flac 36 g";"LIDOCAINE EN ASSOCIATION";"flac_pulv";"flacon(s) pulvérisateur"
15042;"XYLOCAINE ADRENALINE 400 mg/0.1 mg/20 mL, sol inj, flac";"LIDOCAINE EN ASSOCIATION";"flac";"flacon(s)"
25845;"PRIMACAINE adrénaline 1/200 000, sol inj dentaire, cart 1.7 mL";"ARTICAINE EN ASSOCIATION";"cart";"cartouche(s)"
17170;"QUTENZA 179 mg, dispositif cutané";"CAPSICINE";"dc";"dispositif cutané"
31482;"MEPHENON 10 mg/1 mL, sol inj, amp";"ALCALOIDES NATURELS DE L'OPIUM";"amp";"ampoule(s)"
4143;"MORPHINE SULFATE 1 mg/1 mL LAVOISIER, sol inj, amp";"MORPHINE";"amp";"ampoule(s)"
4144;"MORPHINE CHLORHYDRATE 10 mg/1 mL AGUETTANT, sol inj, amp";"MORPHINE";"amp";"ampoule(s)"
5525;"SKENAN LP 100 mg, gélule";"MORPHINE";"gel";"gélule(s)"
5522;"SKENAN LP 10 mg, gélule";"MORPHINE";"gel";"gélule(s)"
5523;"SKENAN LP 30 mg, gélule";"MORPHINE";"gel";"gélule(s)"
5524;"SKENAN LP 60 mg, gélule";"MORPHINE";"gel";"gélule(s)"
4145;"MORPHINE CHLORHYDRATE 50 mg/5 mL AGUETTANT, sol inj, amp";"MORPHINE";"amp";"ampoule(s)"
4322;"ORAMORPH 10 mg, sol buv, récipient unidose 5 mL";"MORPHINE";"rec_unidose";"récipient unidose"
34151;"ACTISKENAN 10 mg, cpr orodispersible";"MORPHINE";"cpr";"comprimé(s)"
33799;"ACTISKENAN 5 mg, cpr orodispersible";"MORPHINE";"gel";"gélule(s)"
34152;"ACTISKENAN 20 mg, cpr orodispersible";"MORPHINE";"cpr";"comprimé(s)"
5887;"SOPHIDONE LP 8 mg, gélule à libération prolongée";"HYDROMORPHONE";"gel";"gélule(s)"
5889;"SOPHIDONE LP 24 mg, gélule à libération prolongée";"HYDROMORPHONE";"gel";"gélule(s)"
5886;"SOPHIDONE LP 4 mg, gélule à libération prolongée";"HYDROMORPHONE";"gel";"gélule(s)"
4345;"OXYCODONE LP 5 mg VIATRIS, cpr à libération prolongée";"OXYCODONE";"cpr";"comprimé(s)"
4361;"OXYNORMORO 5 mg, cpr orodispersible";"OXYCODONE";"cpr";"comprimé(s)"
4362;"OXYNORMORO 10 mg, cpr orodispersible";"OXYCODONE";"cpr";"comprimé(s)"
4364;"OXYNORMORO 20 mg, cpr orodispersible";"OXYCODONE";"cpr";"comprimé(s)"
4346;"OXYCODONE LP 10 mg VIATRIS, cpr à libération prolongée";"OXYCODONE";"cpr";"comprimé(s)"
4347;"OXYCODONE LP 20 mg VIATRIS, cpr à libération prolongée";"OXYCODONE";"cpr";"comprimé(s)"
8448;"OXYCODONE 10 mg/1 mL MEDAC, sol inj ou pr perf, amp";"OXYCODONE";"amp";"ampoule(s)"
8449;"OXYCODONE 50 mg/1 mL MEDAC, sol inj ou pr perf, amp";"OXYCODONE";"amp";"ampoule(s)"
9119;"OXYCODONE 200 mg/20 mL MEDAC, sol inj ou pr perf, amp";"OXYCODONE";"amp";"ampoule(s)"
4348;"OXYCODONE LP 40 mg VIATRIS, cpr à libération prolongée";"OXYCODONE";"cpr";"comprimé(s)"
4349;"OXYCODONE LP 80 mg VIATRIS, cpr à libération prolongée";"OXYCODONE";"cpr";"comprimé(s)"
11863;"OXYNORM 10 mg/mL, sol buv, flac 30 mL + srg";"OXYCODONE";"flac";"flacon(s)"
12893;"LAMALINE, gélule";"MORPHINE EN ASSOCIATION";"gel";"gélule(s)"
13933;"MATRIFEN 12 ug/h, dispositif transdermique";"FENTANYL";"dtd";"dispositif(s) transdermique(s)"
13934;"MATRIFEN 25 ug/h, dispositif transdermique";"FENTANYL";"dtd";"dispositif(s) transdermique(s)"
14337;"MATRIFEN 75 ug/h, dispositif transdermique";"FENTANYL";"dtd";"dispositif(s) transdermique(s)"
13935;"MATRIFEN 50 ug/h, dispositif transdermique";"FENTANYL";"dtd";"dispositif(s) transdermique(s)"
14338;"MATRIFEN 100 ug/h, dispositif transdermique";"FENTANYL";"dtd";"dispositif(s) transdermique(s)"
11145;"ABSTRAL 100 ug, cpr sublingual";"FENTANYL";"cpr";"comprimé(s)"
25292;"PECFENT 100 ug/pulv, sol pr pulv nasale, flac 1.55 mL";"FENTANYL";"flac";"flacon(s)"
25293;"PECFENT 400 ug/pulv, sol pr pulv nasale, flac 1.55 mL";"FENTANYL";"flac";"flacon(s)"
35676;"ABSTRAL 400 ug, cpr sublingual";"FENTANYL";"cpr";"comprimé(s)"
4459;"THIOPENTAL 500 mg PANPHARMA, pdr pr sol inj";"THIOPENTAL";"flac";"flacon(s)"
6098;"SUFENTA 10 ug/2 mL, sol inj, amp";"SUFENTANIL";"amp";"ampoule(s)"
6099;"SUFENTA 50 ug/10 mL, sol inj, amp";"SUFENTANIL";"amp";"ampoule(s)"
9755;"SUFENTA 250 ug/5 mL, sol inj, amp";"SUFENTANIL";"amp";"ampoule(s)"
14336;"REMIFENTANIL 2 mg VIATRIS, pdr pr sol inj ou pr perf";"REMIFENTANIL";"flac";"flacon(s)"
3752;"KETAMINE 50 mg/5 mL RENAUDIN, sol inj, amp";"KETAMINE";"amp";"ampoule(s)"
7672;"KETAMINE 250 mg/5 mL RENAUDIN, sol inj, amp";"KETAMINE";"amp";"ampoule(s)"
2911;"ETOMIDATE LIPURO 20 mg/10 mL, émulsion inj, amp";"ETOMIDATE";"amp";"ampoule(s)"
2163;"PROPOFOL LIPURO 200 mg/20 mL, émulsion inj ou pr perf, amp";"PROPOFOL";"amp";"ampoule(s)"
31734;"PROPOFOL 1 g/100 mL BAXTER, émulsion inj ou pr perf, flac";"PROPOFOL";"flac";"flacon(s)"
31736;"PROPOFOL LIPURO 1 g/50 mL, émulsion inj ou pr perf, flac";"PROPOFOL";"flac";"flacon(s)"
3903;"LIDOCAINE 400 mg/20 mL ss conserv AGUETTANT, sol inj, flac";"LIDOCAINE";"flac";"flacon(s)"
7566;"LIDOCAINE 5% AGUETTANT, sol pr pulv buccale, flac 20 mL";"LIDOCAINE";"flac_pres";"flacon(s) pressurisé(s)"
7567;"XYLOCAINE VISQUEUSE 2%, gel oral, tube 100 g";"LIDOCAINE";"tube";"tube(s)"
7570;"XYLOROLLAND SANS VASOCONSTRICTEUR, sol inj dentaire, cart 1.8 mL";"LIDOCAINE";"cart";"cartouche(s)"
3900;"LIDOCAINE 200 mg/20 mL ss conserv AGUETTANT, sol inj, flac";"LIDOCAINE";"flac";"flacon(s)"
6877;"VERSATIS 700 mg, emplâtre médicamenteux";"LIDOCAINE";"EMPMED";"Emplâtre(s) médicamenteux"
17628;"LIDOCAINE 100 mg/10 mL ss conserv AGUETTANT, sol inj, amp";"LIDOCAINE";"amp";"ampoule(s)"
31420;"XYLOCAINE 2%, gel urétral, srg 10 g";"LIDOCAINE";"g";"gramme(s)"
1001;"CARBOCAINE 200 mg/20 mL, sol inj, amp";"MEPIVACAINE";"amp";"ampoule(s)"
1002;"CARBOCAINE 400 mg/20 mL, sol inj, amp";"MEPIVACAINE";"amp";"ampoule(s)"
4175;"ROPIVACAINE 75 mg/10 mL KABI, sol inj, amp";"ROPIVACAINE";"amp";"ampoule(s)"
4172;"ROPIVACAINE 20 mg/10 mL KABI, sol inj, amp";"ROPIVACAINE";"amp";"ampoule(s)"
4173;"ROPIVACAINE 40 mg/20 mL KABI, sol inj, amp";"ROPIVACAINE";"amp";"ampoule(s)"
4174;"ROPIVACAINE 400 mg/200 mL KABI, sol pr perf, poche FREEFLEX";"ROPIVACAINE";"poche";"poche(s)"
4176;"ROPIVACAINE 150 mg/20 mL KABI, sol inj, amp";"ROPIVACAINE";"amp";"ampoule(s)"
37799;"ROPIVACAINE 50 mg/10 mL NORIDEM, sol inj, amp";"ROPIVACAINE";"amp";"ampoule(s)"
2448;"EMLA 5%, crème, tube 5 g";"ASSOCIATIONS";"tube";"tube(s)"
2449;"LIDOCAINE PRILOCAINE 5% AGUETTANT, dispositif cutané";"ASSOCIATIONS";"dc";"dispositif cutané"
4367;"PAMIDRONATE DE SODIUM 15 mg/5 mL HOSPIRA, sol à diluer pr perf, flac";"PAMIDRONIQUE ACIDE";"flac";"flacon(s)"
9898;"PAMIDRONATE DE SODIUM 90 mg/10 mL HOSPIRA, sol à diluer pr perf, flac";"PAMIDRONIQUE ACIDE";"flac";"flacon(s)"
4818;"PLAQUENIL 200 mg, cpr";"QUININE ET DERIVES";"cpr";"comprimé(s)"
6124;"SUPRANE, liquide pr inhal par vapeur, flac alu 240 mL";"DESFLURANE";"flac";"flacon(s)"
5491;"SOJOURN 100%, liquide pr inhal par vapeur, flac 250 mL";"SEVOFLURANE";"flac";"flacon(s)"
3921;"BACLOFENE 0.05 mg/1 mL AGUETTANT, sol inj, ithecal, amp";"BACLOFENE";"amp";"ampoule(s)"
3922;"BACLOFENE 10 mg/20 mL AGUETTANT, sol pr perf, ithecal, amp";"BACLOFENE";"amp";"ampoule(s)"
3923;"BACLOFENE 10 mg/5 mL AGUETTANT, sol pr perf, ithecal, amp";"BACLOFENE";"amp";"ampoule(s)"
